Hari,Jam,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas
Selasa,13:55:00 - 14:45:00,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R006,B,35
Selasa,10:15:00 - 11:05:00,Sistem Manajemen Basis Data,3,3,DEWI WISNU WARDANI,R006,B,35
Selasa,13:00:00 - 13:50:00,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20
Selasa,13:55:00 - 14:45:00,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20
Selasa,15:30:00 - 16:20:00,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20
Selasa,16:25:00 - 17:15:00,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,C,20
Selasa,07:30:00 - 08:20:00,Matematika Diskrit II,3,2,HERI PRASETYO,R007,D,20
Selasa,08:25:00 - 09:15:00,Matematika Diskrit II,3,2,HERI PRASETYO,R007,D,20
Selasa,15:30:00 - 16:20:00,Konsep Pemrograman,1,4,BAMBANG HARJITO,R008,B,45
Selasa,07:30:00 - 08:20:00,Etika Profesi,7,2,HARYONO SETIADI,R008,B,45
Selasa,08:25:00 - 09:15:00,Etika Profesi,7,2,HARYONO SETIADI,R008,B,45
Selasa,13:00:00 - 13:50:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,C,45
Selasa,13:55:00 - 14:45:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,C,45
Selasa,09:20:00 - 10:10:00,Kewirausahaan,7,2,NISAUL HASANAH A ROSYAD,R008,D,45
Selasa,10:15:00 - 11:05:00,Kewirausahaan,7,2,NISAUL HASANAH A ROSYAD,R008,D,45
Selasa,07:30:00 - 08:20:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30
Selasa,08:25:00 - 09:15:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30
Selasa,09:20:00 - 10:10:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R009,B,30
Selasa,11:10:00 - 12:00:00,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,A,30
Selasa,13:00:00 - 13:50:00,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,A,30
Selasa,13:55:00 - 14:45:00,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,B,30
Selasa,15:30:00 - 16:20:00,Pancasila,3,2,MUHAMMAD HENDRI NURYADI,R009,B,30
Selasa,16:25:00 - 17:15:00,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R009,A,30
Selasa,18:10:00 - 19:00:00,Pendidikan Agama Kristen,1,2,HERY HARJANTO,R009,A,30
Selasa,07:30:00 - 08:20:00,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30
Selasa,08:25:00 - 09:15:00,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30
Selasa,09:20:00 - 10:10:00,Teknologi Cloud untuk Big Data dan Data Analitik,5,3,BAMBANG WIDOYONO,R010,B,30
Selasa,10:15:00 - 11:05:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30
Selasa,11:10:00 - 12:00:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30
Selasa,13:00:00 - 13:50:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R010,B,30
Selasa,13:55:00 - 14:45:00,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30
Selasa,15:30:00 - 16:20:00,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30
Selasa,16:25:00 - 17:15:00,Intelijen Bisnis,5,3,ENDRA PRATAMA,R010,A,30
Rabu,07:30:00 - 08:20:00,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R001,A,25
Rabu,08:25:00 - 09:15:00,Matematika Diskrit II,3,2,SHAIFUDIN ZUHDI,R001,A,25
Rabu,13:00:00 - 13:50:00,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25
Rabu,13:55:00 - 14:45:00,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25
Rabu,15:30:00 - 16:20:00,Sistem Terdistribusi,5,3,WISNU WIDIARTO,R001,F,25
